"gene","logFC","logCPM","F","PValue","FDR","pct_tumor_cells_descriptive","pct_normal_cells_descriptive","experimental_unit","is_cell_cycle_like"
"LYPD8",-6.79824558785587,7.21342411273575,119.087907217487,4.52690837866742e-08,1.22256322074173e-05,0.026422406200458,0.388945752302968,"paired_patient_pseudobulk",FALSE
"PACSIN3",5.9893032208448,3.26349156605606,111.24927534708,4.61529890561136e-08,1.22256322074173e-05,0.198168046503435,0.00204708290685773,"paired_patient_pseudobulk",FALSE
"GRINA",1.94853338436131,5.35837463991923,123.283065916113,4.76162079162192e-08,1.22572716014287e-05,0.583935177030122,0.126919140225179,"paired_patient_pseudobulk",FALSE
"BMP3",-6.40628505574161,0.9525839103079,82.7048030565346,4.94416230061262e-08,1.22572716014287e-05,0.00070459749867888,0.0552712384851586,"paired_patient_pseudobulk",FALSE
"OTOP2",-12.1438956265335,6.1712425611302,263.405406040849,5.01806652109384e-08,1.22572716014287e-05,0.00035229874933944,0.236438075742068,"paired_patient_pseudobulk",FALSE
"CGREF1",4.86082632390576,2.8394115659728,78.7407890365103,5.02105101745271e-08,1.22572716014287e-05,0.155716047208032,0.00307062436028659,"paired_patient_pseudobulk",FALSE
"PROCR",3.75922674707273,4.30927484127849,85.3007076135297,5.5582270649619e-08,1.3307678261303e-05,0.401268275497622,0.0174002047082907,"paired_patient_pseudobulk",FALSE
"DISP2",-3.35516782234592,1.10538263483323,100.664555120509,7.2679491509381e-08,1.70728239489018e-05,0.00915976748282544,0.04503582395087,"paired_patient_pseudobulk",FALSE
"CLDN1",4.69266627176691,4.3848152712134,97.1972431140547,8.55799467574625e-08,1.97309321690816e-05,0.365862251189008,0.0133060388945752,"paired_patient_pseudobulk",FALSE
"SCGN",-5.96911449497136,1.35922274561175,88.0902582592492,8.93260938026627e-08,2.022017941533e-05,0.0017614937466972,0.0214943705220061,"paired_patient_pseudobulk",FALSE
"GFI1B",-5.32766667382996,0.17275915769464,73.5814216307197,9.97785170959664e-08,2.2182902461514e-05,0.00211379249603664,0.0317297850562948,"paired_patient_pseudobulk",FALSE
"RP11-420N3.2",-5.31107893549479,0.843041650985655,70.656103395907,1.03879519475432e-07,2.26894739906864e-05,0.00246609124537608,0.0532241555783009,"paired_patient_pseudobulk",FALSE
"ENTPD5",-2.18519674307859,4.48762354181211,108.504436999008,1.08644985409016e-07,2.33212080748663e-05,0.141447947859785,0.241555783009212,"paired_patient_pseudobulk",FALSE
"PLCE1",-2.32864607455176,3.89351451956384,108.643507295063,1.10534616142793e-07,2.33246774741996e-05,0.109212612295226,0.187308085977482,"paired_patient_pseudobulk",FALSE
"BCL2L1",2.43839923987547,5.39037743975089,91.6101014329079,1.1287586667805e-07,2.34217423356955e-05,0.5846397745288,0.109518935516888,"paired_patient_pseudobulk",FALSE
"TMEM236",-4.63068405660888,2.88063640426227,97.5234361568603,1.1811706821261e-07,2.41074999876557e-05,0.0186718337149903,0.143295803480041,"paired_patient_pseudobulk",FALSE
"MEIS1",-5.4350783226437,0.924499711558935,80.0234134194484,1.25433771614588e-07,2.51879105903487e-05,0.00211379249603664,0.0440122824974411,"paired_patient_pseudobulk",FALSE
"LMTK3",5.99290025814006,3.77274796103409,81.5322345488682,1.28873946919305e-07,2.54679466531008e-05,0.204509423991545,0.00307062436028659,"paired_patient_pseudobulk",FALSE
"C15orf48",-2.60538367264985,9.78240265012843,104.279282256919,1.39386905918801e-07,2.71151090420167e-05,0.684340320591862,0.880245649948823,"paired_patient_pseudobulk",FALSE
"PLAC9",-4.66660646424711,0.767944457248448,70.082514417191,1.44182170665686e-07,2.75599028031727e-05,0.00299453936938524,0.0511770726714432,"paired_patient_pseudobulk",FALSE
"BEX4",-4.58616224971876,2.93111416942253,117.85218352531,1.46100689558988e-07,2.75599028031727e-05,0.0139158005989079,0.136131013306039,"paired_patient_pseudobulk",FALSE
