"dataset","contrast","case_condition","reference_condition","cell_class","feature","n_pairs","mean_paired_difference","bootstrap_CI_low","bootstrap_CI_high","median_paired_difference","paired_difference_sd","paired_Cohen_dz","Wilcoxon_p","paired_t_p_sensitivity","status","BH_FDR","score_type"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","M4_secreted_heparin_binding_factors",9,-0.118600697661979,-1.00010584145469,0.627482200235979,-0.0613755002605154,1.27262980815008,-0.0931933991349613,1,0.786891904746396,"estimated",1,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","ECM19_structural_gene_equal",9,0.797867197269452,0.500892370360282,1.09239806553255,0.608113728123371,0.470739755224092,1.69492206344381,0.00915168885265007,0.000947525269629327,"estimated",0.0235606070104103,"structural_core"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","ECM21_gene_equal",9,0.738835227488775,0.380941617664965,1.06929483155658,0.567297059382031,0.563027503344104,1.3122542382041,0.00915168885265007,0.00431547535646979,"estimated",0.0235606070104103,"full_panel_gene_equal"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","ECM21_minus_M1_interstitial_pericellular_collagen",9,0.532616447404704,0.230652920627802,0.817946173932469,0.720651495881764,0.48401480670036,1.10041354113869,0.0440109840129515,0.0108387846915213,"estimated",0.069160117734638,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","ECM21_minus_M2_basement_membrane",9,0.734801216136719,0.178416140266635,1.2757499641993,0.509734255266401,0.907943858878184,0.809302479389648,0.0755605675259413,0.0413369680955465,"estimated",0.0923518047539283,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","ECM21_minus_M3_matrix_organizing_glycoproteins",9,0.788470833160338,0.44921811952031,1.1166090725046,0.604272083286981,0.544050712532729,1.4492598116263,0.0128512401874965,0.00245258807361473,"estimated",0.0235606070104103,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","ECM21_minus_M4_secreted_heparin_binding_factors",9,0.797867197269452,0.504276550455514,1.08790056896581,0.608113728123371,0.470739755224092,1.69492206344381,0.00915168885265007,0.000947525269629327,"estimated",0.0235606070104103,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","Myeloid","ECM21_module_balanced",9,0.623519904280577,0.0917613514276086,1.12192188145377,0.512009310649577,0.838585168187868,0.74353795885511,0.0755605675259413,0.056243092051292,"estimated",0.0923518047539283,"full_panel_module_balanced"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","M1_interstitial_pericellular_collagen",10,0.224496434559006,-0.302146592639345,0.781839874806671,-0.239757517454084,0.907923043501101,0.247263725891691,0.759765825978067,0.454341838049781,"estimated",1,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","M2_basement_membrane",10,0.449516908291951,-0.0407385131383751,1.03948156324408,0.46878349437416,0.938167587257036,0.479143507404924,0.185143724157873,0.164028026464361,"estimated",1,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","M3_matrix_organizing_glycoproteins",10,-0.338245378515951,-1.05223126713032,0.491708869696642,-0.841710691978214,1.30120378194881,-0.259948044424956,0.358951435852626,0.43229848218239,"estimated",1,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","M4_secreted_heparin_binding_factors",10,0.377633838176085,-0.658985507499735,1.25724698783981,0.897461602523127,1.63760002003339,0.230601998996303,0.540817904242618,0.484406547079986,"estimated",1,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","ECM19_structural_gene_equal",10,0.20722248064408,-0.302667231678086,0.82438317555259,-0.221263865415328,0.96777658599528,0.214122229905953,1,0.515359079993343,"estimated",1,"structural_core"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","ECM21_gene_equal",10,0.238484064646914,-0.274876523056637,0.888013522369279,-0.23691893752267,1.00683827079276,0.236864322270087,0.918812683274642,0.472960160856707,"estimated",1,"full_panel_gene_equal"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","ECM21_minus_M1_interstitial_pericellular_collagen",10,0.233759314341621,-0.291358500923915,0.894253558990852,-0.221673908681309,1.06547426584098,0.219394613118239,0.759765825978067,0.505326688663713,"estimated",1,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","ECM21_minus_M2_basement_membrane",10,0.0527524105691976,-0.61462308658352,0.800148407993885,-0.126178265577798,1.19307775795715,0.0442154002263213,1,0.891880173387836,"estimated",1,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","ECM21_minus_M3_matrix_organizing_glycoproteins",10,0.404782511155286,-0.0481854176691747,0.979203006662314,0.041804468070276,0.904161992998941,0.447688040737806,0.358951435852626,0.190520619045054,"estimated",1,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","ECM21_minus_M4_secreted_heparin_binding_factors",10,0.20722248064408,-0.266324214265664,0.845475453477603,-0.221263865415328,0.96777658599528,0.214122229905953,1,0.515359079993343,"estimated",1,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","T_NK","ECM21_module_balanced",10,0.229838115285672,-0.400744482124649,0.950944261401281,-0.0260127774565572,1.15935359008936,0.198246779283235,0.759765825978067,0.546289274200489,"estimated",1,"full_panel_module_balanced"
