section,x,y,epithelial_target_score,nearest_fibroblast_ECM_score
"P1CRC",143.169057821935,-282.737080417913,0.0541162201457959,0.165699583489712
"P1CRC",44.7799299236449,-178.507129381372,-0.158450897035525,-0.312592871218066
"P1CRC",194.764940452527,-223.044252550393,0.0544977470932044,0.325214911170073
"P1CRC",127.222863333035,-300.590673593155,0.0906917169413713,-0.0753639475237243
"P1CRC",47.8997893259483,-187.659755199097,-0.158450897035525,-0.222376875162159
"P1CRC",114.006644673505,-290.111687535291,0.180788043402704,-0.128532758586711
"P1CRC",179.085179345541,-238.681875934518,0.0885258550491263,0.13000038217584
"P1CRC",177.578289694855,-241.627135263219,0.263454481713223,0.12660613638302
"P1CRC",68.2237113725144,-202.642585590136,-0.0389655864613215,-0.504229460711481
"P1CRC",78.1495647039348,-301.616141114822,-0.112871162727817,0.0173094362062492
"P1CRC",73.8419689061269,-155.348370914446,-0.158450897035525,-0.275452402256349
"P1CRC",87.0468909459962,-272.847827971826,-0.158450897035525,0.25620969266131
"P1CRC",203.912720932429,-246.802268293449,-0.0079556923453591,0.129988909707898
"P1CRC",56.4806773964784,-298.703227992471,-0.158450897035525,0.125211994808416
"P1CRC",171.848215069086,-274.371465028925,0.0402605826069049,0.122210897161689
"P1CRC",180.244244012746,-246.583699804109,0.254578846144285,0.231140253955031
"P1CRC",102.031782835156,-252.272800754547,0.291635757447738,0.523240682235984
"P1CRC",134.618905537179,-300.65910413907,-0.158450897035525,-0.196118021971896
"P1CRC",74.254611587307,-163.983006867913,-0.158450897035525,-0.491337407871774
"P1CRC",55.6263012893332,-231.623986771024,-0.158450897035525,-0.417772013936933
"P1CRC",99.0699563547646,-305.508508965152,-0.101998088766448,-0.142612313308096
"P1CRC",109.18122569256,-252.338837789807,0.204716412826707,-0.126674988285725
"P1CRC",166.695850102072,-245.225604731715,0.459985831843903,0.113710256483891
"P1CRC",82.3996197083246,-268.859470837868,-0.100359005981996,0.103815742050599
"P1CRC",162.173264653034,-280.693463692874,-0.0289832022553263,-0.0119531277466706
"P1CRC",111.21556827584,-245.699657069118,-0.10531734668971,0.0555537310316594
"P1CRC",127.498834888906,-271.002422137097,0.170771232814549,0.190507887379598
"P1CRC",124.446600132866,-307.469461987732,-0.0214195356763241,-0.0972673369744606
"P1CRC",52.1144673936219,-211.617876474518,-0.158450897035525,-0.362760521036983
"P1CRC",36.1707620122824,-202.840215634687,-0.158450897035525,-0.174764700061526
"P1CRC",174.392163846333,-292.396343894831,0.429417688051934,-0.0684651695687259
"P1CRC",42.2298354827794,-267.008709526988,-0.0796888639736828,-0.0424517139827819
"P1CRC",95.3823304326174,-251.471611870014,-0.0450928477294595,0.438814389413498
"P1CRC",166.728068847099,-241.773552013233,0.123388221334707,0.11459444964534
"P1CRC",198.433230580978,-226.283905244027,-0.158450897035525,0.218046753008905
"P1CRC",203.514187769522,-263.074092347727,0.00468598421647574,0.147921642560964
"P1CRC",51.4032227654988,-235.037237783737,-0.158450897035525,-0.247244943572741
"P1CRC",175.005199380906,-305.96462174698,0.196854289544169,-0.0875131512190172
"P1CRC",24.1319612336386,-251.306681614127,-0.158450897035525,-0.101096968142595
"P1CRC",54.6486311409224,-204.243548013221,-0.158450897035525,-0.19852051792799
"P1CRC",187.302187120118,-282.898560562897,-0.0452122705564652,0.0873419311646813
"P1CRC",143.187065484696,-254.379094888817,0.54037934668962,0.0551486888979665
"P1CRC",56.9883070370211,-244.212545463048,-0.158450897035525,-0.265626139658353
"P1CRC",148.097137579807,-256.643796519579,-0.0905558956056894,0.124596150640084
"P1CRC",191.306763753715,-276.524100988163,0.204935075310605,0.0336336959314548
"P1CRC",186.081195971289,-308.039863474223,-0.0161257085767575,0.146524959346927
"P1CRC",39.4475719158833,-221.611158324582,-0.158450897035525,-0.277571579334552
"P1CRC",93.2508939789012,-242.081495639579,-0.00682122030443758,0.239405839973346
"P1CRC",130.437010101692,-299.634055168538,-0.0755442118548583,-0.0753639475237243
"P1CRC",23.8670764449773,-253.276908640108,-0.069049575234922,-0.212417325997606
"P1CRC",12.0341942408319,-253.167605579046,-0.158450897035525,-0.0655029691839562
"P1CRC",200.583409633269,-286.473708326679,0.0934738451554819,-0.14279492336236
"P1CRC",204.277005726253,-287.001057238504,0.040536642969422,-0.14279492336236
"P1CRC",134.014568057441,-259.719407255326,-0.0597240067153652,0.013931260691097
"P1CRC",191.142901419337,-241.259179858993,0.0846254495004576,0.192147560431857
"P1CRC",52.1412618163609,-182.273827818501,-0.158450897035525,-0.372189514555913
"P1CRC",96.6023654870816,-305.732259893405,0.0576863815457017,-0.152349545378989
"P1CRC",202.069597431519,-285.747663693431,-0.0810328128176758,-0.14279492336236
"P1CRC",74.0705316076879,-263.110986070804,0.256325783364714,-0.0391118949977469
"P1CRC",41.147974156467,-224.339314004584,-0.158450897035525,-0.235499044546562
"P1CRC",53.9435060660092,-200.538189156225,-0.158450897035525,-0.219829326572872
"P1CRC",118.049544210534,-253.160526894093,0.49849573198529,0.204807340659809
"P1CRC",201.470579682331,-297.085522056576,0.0247012250094241,0.180755237234622
"P1CRC",120.583876170248,-245.786168724027,0.276851991672939,-0.0567329982176173
"P1CRC",187.606285466339,-276.736488288734,0.448799114597597,-0.202888160995862
"P1CRC",52.0700664080682,-269.318916927721,-0.158450897035525,-0.286825163577738
"P1CRC",135.05677477207,-306.581298445389,-0.112285340728271,-0.18847654128377
