cohort_split,time,n_risk,n_event,n_censor,survival,lower,upper,risk_group
Discovery,37.0,124,3,1,0.7854972316775441,0.728190086962742,0.8473143373134859,Low
Discovery,38.0,120,1,0,0.7789514214135647,0.7208554828961983,0.8417294885299301,Low
Discovery,39.0,119,0,1,0.7789514214135647,0.7208554828961983,0.8417294885299301,Low
Discovery,41.0,118,0,3,0.7789514214135647,0.7208554828961983,0.8417294885299301,Low
Discovery,42.0,115,0,2,0.7789514214135647,0.7208554828961983,0.8417294885299301,Low
Discovery,43.0,113,0,4,0.7789514214135647,0.7208554828961983,0.8417294885299301,Low
Discovery,44.0,109,0,1,0.7789514214135647,0.7208554828961983,0.8417294885299301,Low
Discovery,45.0,108,2,1,0.7645263950910912,0.7045307079457813,0.8296311320413884,Low
Discovery,46.0,105,0,5,0.7645263950910912,0.7045307079457813,0.8296311320413884,Low
Discovery,48.0,100,1,1,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,50.0,98,0,4,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,51.0,94,0,2,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,52.0,92,0,1,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,53.0,91,0,2,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,54.0,89,0,2,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,55.0,87,0,2,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,56.0,85,0,3,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,57.0,82,0,2,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,60.0,80,0,1,0.7568811311401803,0.6958548650513582,0.8232593827360216,Low
Discovery,61.0,79,1,1,0.7473003573282793,0.6845574240907891,0.8157939778459091,Low
Discovery,62.0,77,0,1,0.7473003573282793,0.6845574240907891,0.8157939778459091,Low
Discovery,63.0,76,0,4,0.7473003573282793,0.6845574240907891,0.8157939778459091,Low
Discovery,64.0,72,0,1,0.7473003573282793,0.6845574240907891,0.8157939778459091,Low
Discovery,65.0,71,0,3,0.7473003573282793,0.6845574240907891,0.8157939778459091,Low
Discovery,66.0,68,1,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,68.0,65,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,69.0,64,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,71.0,62,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,73.0,61,0,4,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,74.0,57,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,75.0,55,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,76.0,54,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,77.0,53,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,78.0,52,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,79.0,50,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,80.0,49,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,81.0,47,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,82.0,46,0,3,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,83.0,43,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,84.0,41,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,85.0,40,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
