"cohort","model","comparison","score_A","score_B","n","events","bootstrap_reps_requested","bootstrap_reps_successful","bootstrap_success_fraction","Cindex_A_apparent","Cindex_B_apparent","delta_Cindex_apparent","delta_Cindex_boot_median","CI_lower","CI_upper","bootstrap_probability_delta_gt_0","reliable_bootstrap"
"Validation","clinical_stratified","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",98,30,1000,664,0.664,0.565570269115762,0.558735583084152,0.00683468603161042,0.0010498291479728,-0.0376535870881588,0.0437445468822708,0.524096385542169,FALSE
"Validation","clinical_stratified","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",98,30,1000,664,0.664,0.565570269115762,0.558735583084152,0.00683468603161042,0.00407478812708356,-0.0499573465883467,0.0679213483146067,0.566265060240964,FALSE
"Validation","clinical_stratified","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",98,30,1000,664,0.664,0.565570269115762,0.565570269115762,0,0,-0.0144701571019772,0.0128137551023082,0.468373493975904,FALSE
"Validation","clinical_stratified","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",98,30,1000,664,0.664,0.565570269115762,0.561298590346006,0.00427167876975654,0.00128900949796468,-0.0197308190387937,0.0218156352662694,0.55421686746988,FALSE
"Validation","clinical_stratified","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",98,30,1000,664,0.664,0.561298590346006,0.575395130286202,-0.0140965399401966,-0.00515482595285122,-0.0575537481994545,0.04000936276824,0.364457831325301,FALSE
"Validation","caf_primary","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",98,30,1000,0,0,,,,,,,,FALSE
"Validation","caf_primary","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",98,30,1000,0,0,,,,,,,,FALSE
"Validation","caf_primary","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",98,30,1000,0,0,,,,,,,,FALSE
"Validation","caf_primary","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",98,30,1000,0,0,,,,,,,,FALSE
"Validation","caf_primary","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",98,30,1000,0,0,,,,,,,,FALSE
"Validation","caf_primary","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",98,30,1000,0,0,,,,,,,,FALSE
"Validation","caf_primary","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",98,30,1000,0,0,,,,,,,,FALSE
"Validation","caf_primary","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",98,30,1000,0,0,,,,,,,,FALSE
"Validation","caf_stratified","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",98,30,1000,644,0.644,0.5736864587783,0.589064502349423,-0.0153780435711234,-0.00598522382672123,-0.0660767233483611,0.0375233834674391,0.355590062111801,FALSE
"Validation","caf_stratified","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",98,30,1000,644,0.644,0.5736864587783,0.56087142246903,0.0128150363092696,0.00638500781887968,-0.0337882094711715,0.0715595644788462,0.641304347826087,FALSE
"Validation","caf_stratified","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",98,30,1000,644,0.644,0.5736864587783,0.589064502349423,-0.0153780435711234,-0.00598522382672123,-0.0660767233483611,0.0375233834674391,0.355590062111801,FALSE
"Validation","caf_stratified","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",98,30,1000,644,0.644,0.5736864587783,0.559589918838103,0.0140965399401966,0.00514442108234631,-0.0519215177587687,0.0872222222222222,0.610248447204969,FALSE
"Validation","caf_stratified","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",98,30,1000,644,0.644,0.5736864587783,0.558308415207176,0.0153780435711235,0.00497986785981597,-0.0591169792403869,0.101193370554014,0.588509316770186,FALSE
"Validation","caf_stratified","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",98,30,1000,644,0.644,0.5736864587783,0.574113626655276,-0.000427167876975609,0,-0.018541723583215,0.0198591995928079,0.489130434782609,FALSE
"Validation","caf_stratified","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",98,30,1000,644,0.644,0.5736864587783,0.568987612131568,0.00469884664673226,0.00253930932505742,-0.0323468028359186,0.0375368011819515,0.591614906832298,FALSE
"Validation","caf_stratified","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",98,30,1000,644,0.644,0.568987612131568,0.589064502349423,-0.0200768902178556,-0.00894559369352832,-0.0818462159472804,0.0533867003759218,0.343167701863354,FALSE
"Pooled","clinical_primary","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",471,138,1000,648,0.648,0.647106814334374,0.652205837361562,-0.00509902302718801,-0.0044716745414598,-0.0160911857855809,0.00289149915013604,0.112654320987654,FALSE
"Pooled","clinical_primary","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",471,138,1000,648,0.648,0.647106814334374,0.643986212241734,0.00312060209263909,0.00225921996985107,-0.00338741474513028,0.0118398873205161,0.777777777777778,FALSE
"Pooled","clinical_primary","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",471,138,1000,648,0.648,0.647106814334374,0.652205837361562,-0.00509902302718801,-0.0044716745414598,-0.0160911857855809,0.00289149915013604,0.112654320987654,FALSE
"Pooled","clinical_primary","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",471,138,1000,648,0.648,0.647106814334374,0.642068979583512,0.00503783475086172,0.00365632039458075,-0.00373515329011032,0.0141024981184158,0.844135802469136,FALSE
"Pooled","clinical_primary","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",471,138,1000,648,0.648,0.647106814334374,0.638132533806523,0.00897428052785088,0.00643474996252558,-0.00842555833452908,0.0307051987086172,0.807098765432099,FALSE
"Pooled","clinical_primary","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",471,138,1000,648,0.648,0.647106814334374,0.647575924452875,-0.000469110118501259,-0.00034719614798695,-0.00336271229269254,0.00203032427235589,0.367283950617284,FALSE
"Pooled","clinical_primary","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",471,138,1000,648,0.648,0.647106814334374,0.644373737991801,0.0027330763425728,0.0017332629452782,-0.00190077010813668,0.00796146259674718,0.807098765432099,FALSE
"Pooled","clinical_primary","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",471,138,1000,648,0.648,0.644373737991801,0.652205837361562,-0.00783209936976081,-0.00632644172432451,-0.0215485837788338,0.00372843104318721,0.0910493827160494,FALSE
"Pooled","clinical_stratified","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",471,138,1000,1000,1,0.575292174019458,0.584021701442004,-0.00872952742254585,-0.00684939484943126,-0.0258737472513878,0.00885714806547796,0.162,TRUE
"Pooled","clinical_stratified","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",471,138,1000,1000,1,0.575292174019458,0.569010177649962,0.00628199636949556,0.00546965821097423,-0.00691876740033221,0.0223365684617008,0.828,TRUE
"Pooled","clinical_stratified","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",471,138,1000,1000,1,0.575292174019458,0.584021701442004,-0.00872952742254585,-0.00684939484943126,-0.0258737472513878,0.00885714806547796,0.162,TRUE
"Pooled","clinical_stratified","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",471,138,1000,1000,1,0.575292174019458,0.56627710130739,0.00901507271206836,0.00789359914171944,-0.00920407129759476,0.0285755312248939,0.848,TRUE
"Pooled","clinical_stratified","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",471,138,1000,1000,1,0.575292174019458,0.553264394542006,0.0220277794774522,0.0181794217069599,-0.0170464008590198,0.0643273916720864,0.846,TRUE
"Pooled","clinical_stratified","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",471,138,1000,1000,1,0.575292174019458,0.576760692651288,-0.00146851863183017,-0.000719998521857113,-0.0056416570717671,0.00355832521981227,0.332,TRUE
"Pooled","clinical_stratified","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",471,138,1000,1000,1,0.575292174019458,0.570927410308185,0.00436476371127292,0.00388911927191093,-0.00439885109858392,0.0142815876962027,0.852,TRUE
"Pooled","clinical_stratified","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",471,138,1000,1000,1,0.570927410308185,0.584021701442004,-0.0130942911338188,-0.0109290348144074,-0.0367687185606958,0.00969050764955916,0.129,TRUE
"Pooled","caf_primary","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",471,138,1000,647,0.647,0.647188398702809,0.652430194374758,-0.00524179567194927,-0.0041447971340498,-0.0213845360590944,0.00480989501133923,0.185471406491499,FALSE
"Pooled","caf_primary","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",471,138,1000,647,0.647,0.647188398702809,0.645311958228803,0.00187644047400515,0.000974484418192922,-0.00605424701800159,0.0116037669609504,0.647604327666152,FALSE
"Pooled","caf_primary","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",471,138,1000,647,0.647,0.647188398702809,0.652430194374758,-0.00524179567194927,-0.0041447971340498,-0.0213845360590944,0.00480989501133923,0.185471406491499,FALSE
"Pooled","caf_primary","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",471,138,1000,647,0.647,0.647188398702809,0.645189581676151,0.00199881702665772,0.000766985932355579,-0.0127632130744545,0.0134159620401237,0.571870170015456,FALSE
