"cohort","model","score","status","reason","n","events","HR","CI_lower","CI_upper","p_value","BH_FDR_M1_to_M4"
"Pooled","clinical_primary","ECM21_module_balanced","completed","",471,138,1.19131325028374,1.01353819562208,1.4002701293665,0.0337462817357208,
"Pooled","clinical_primary","ECM19_structural","completed","",471,138,1.22227984797403,1.03316581012087,1.4460099357998,0.0192604021813479,
"Pooled","clinical_primary","LOMO_minus_M1","completed","",471,138,1.21940473634354,1.03848321610457,1.43184587671501,0.0154846093807658,
"Pooled","clinical_primary","LOMO_minus_M2","completed","",471,138,1.1741575977555,0.993720199898417,1.38735839777424,0.0592951783637663,
"Pooled","clinical_primary","LOMO_minus_M3","completed","",471,138,1.22605435995767,1.03971831318965,1.44578514632455,0.0153889486035793,
"Pooled","clinical_primary","LOMO_minus_M4","completed","",471,138,1.22227984797403,1.03316581012087,1.4460099357998,0.0192604021813479,
"Pooled","clinical_stratified","M1","completed","",471,138,1.17678499155467,0.989067121425077,1.40013037169109,0.0663557988399464,0.132711597679893
"Pooled","clinical_stratified","M2","completed","",471,138,1.24746502947374,1.05616423204597,1.47341573643841,0.00923123401335259,0.0369249360534104
"Pooled","clinical_stratified","M3","completed","",471,138,1.14922165359752,0.970613529977221,1.36069647527827,0.106549577320023,0.142066103093364
"Pooled","clinical_stratified","M4","completed","",471,138,1.07589525887485,0.911801146289843,1.2695208958439,0.386262140075151,0.386262140075151
"Pooled","clinical_stratified","ECM21_gene_equal","completed","",471,138,1.20693881112027,1.02186689253506,1.42552939568734,0.0267802963408171,
"Pooled","clinical_stratified","ECM21_module_balanced","completed","",471,138,1.18255425780187,1.00454988806759,1.39210067041612,0.0439528349383253,
"Pooled","clinical_stratified","ECM19_structural","completed","",471,138,1.21360387256709,1.02464693705191,1.43740668736827,0.0249633428674858,
"Pooled","clinical_stratified","LOMO_minus_M1","completed","",471,138,1.21060051401527,1.02933587093388,1.42378561353778,0.0209222718422492,
"Pooled","clinical_stratified","LOMO_minus_M2","completed","",471,138,1.16411223756254,0.984074027197468,1.37708878010144,0.0762757877547068,
