iteration,wald_z,HR_per_SD,mean_matching_distance,maximum_matching_distance,n_genes,unique_genes,genes,warning
3176,-1.94412279875465,0.818802772449929,0.259929638007345,0.559521942463659,21,21,"NR3C2;HSPA2;C12ORF75;GOLGA8N;SELE;GJA1;SRGN;TAGLN;HLA-DRA;RAD51AP1;MSANTD4;LRATD2;NUFIP1;EXOSC8;CLEC2B;LOC105379173;DDX27;FGGY;C10ORF88;LRRC8E;SIPA1L2",""
3177,-1.11448675272516,0.896862000710894,0.283589331376888,0.886005201898838,21,21,"RBP1;ANKRD37;KRAS;TCEAL8;KANK4;TMEM176B;IFI6;VIL1;MMP2;BATF2;KRT10-AS1;ZNF703;KIF1C;RNF114;ATF3;HOXB3;HAT1;LOC105379173;ANKRD13D;ABHD13;CHURC1",""
3178,-0.124193069765596,0.986449612823144,0.303172734202759,1.19677027677115,21,21,"ADAMTS2;GPX3;CCN2;GINS2;SELE;TM4SF1;EPHB3;YWHAZ;GBP3;NUDT5;SULT2B1;ZNF12;TEAD4;MAPK6;CDH1;TNS1;ACAT1;NR1I2;NRGN;MIR4458HG;CES3",""
3179,-1.83142522222118,0.837728558017994,0.297489301653282,0.896228088786193,21,21,"HLA-DMA;ANKRD37;PFDN4;RHOU;DAPP1;EPPK1;C11ORF96;RPL38;CXCL14;LSP1P5;LSM5;KTN1;DTWD1;PLSCR1;HKDC1;AMIGO2;FZD5;TMEM200A;TAF1B;RNF138;PCOLCE",""
3180,-2.7255636720889,0.760733667340099,0.277124874512753,0.971790554493892,21,21,"EMB;HOPX;TMT1A;CETN3;SLCO5A1;GDF15;CMBL;CTSH;AREG;SLC18B1;MPC2;YAE1;POT1;DCTN6;KHDRBS3;PFN2;AHR;VCAN;NGLY1;COLCA1;N4BP2L2",""
3181,-2.56402384529238,0.759498873401121,0.327669865701968,1.20834318010665,21,21,"EDN1;CHN2;RNF128;TBC1D4;L3MBTL1;ERO1A;HBB;PAM;SPP1;NUCB2;GLCCI1;GATA6;TSHZ1;MAPK6;MFAP2;GSTM3;CASP6;APOLD1;DAAM2;ZNF573;HEG1",""
3182,-1.61633803358413,0.847538268903873,0.294691531124626,0.998646174111278,21,21,"CFD;HOPX;CDC20;EBLN3P;TMEM144;PFDN4;SLC2A1;MSMO1;LGALS1;UHMK1;CEP44;ZFAND1;SERBP1;WDFY1;PCMTD1;CKB;RNF135;ELAPOR1;C1QTNF6;FAM107A;AP1S2",""
3183,-2.78919265185533,0.726092053388402,0.295164257583307,1.12545932406375,21,21,"CCL18;HLTF;C8ORF33;ZKSCAN1;GUCA2B;SERPINF1;MUC1;TDP2;CXCL2;RFTN1;HES4;PHYH;HACD2;BRD2;CDH11;MAFB;ADK;NOX1;C10ORF88;ABHD13;ISG20",""
3184,-1.45715415745383,0.86145312180832,0.297696753494854,0.886312682327015,21,21,"GNE;GSPT2;UBE2L6;ZFP36L2;PSCA;ADD3;CRYZ;MYLK;DDC;IFIT5;VPS35L;TXNDC9;RRM2B;DCUN1D5;TTC39A;XDH;GET1;TRIM22;GOLGA2P10;CCNL1;LTBP1",""
3185,-1.64768867033917,0.838917018736033,0.297782925134739,1.18007293348179,21,21,"STMN3;TIMP3;GUSBP11;NUCB2;XPNPEP2;PTGER4;PSMB9;S100A4;RRM2;CMTM3;DNAJC3;SLC67A1;SIGLEC10;INTS8;GALC;GUCY2C;FCHO2;HOXA10;GGACT;EFCAB7;ANGPTL2",""
