"sample_id","dataset","patient_id","condition","cell_class","n_cells","paired_id"
"GSE132465__SMC01__Normal__Myeloid","GSE132465","SMC01","Normal","Myeloid",67,"GSE132465__SMC01"
"GSE132465__SMC02__Normal__Myeloid","GSE132465","SMC02","Normal","Myeloid",21,"GSE132465__SMC02"
"GSE132465__SMC04__Normal__Myeloid","GSE132465","SMC04","Normal","Myeloid",66,"GSE132465__SMC04"
"GSE132465__SMC05__Normal__Myeloid","GSE132465","SMC05","Normal","Myeloid",21,"GSE132465__SMC05"
"GSE132465__SMC06__Normal__Myeloid","GSE132465","SMC06","Normal","Myeloid",27,"GSE132465__SMC06"
"GSE132465__SMC07__Normal__Myeloid","GSE132465","SMC07","Normal","Myeloid",28,"GSE132465__SMC07"
"GSE132465__SMC08__Normal__Myeloid","GSE132465","SMC08","Normal","Myeloid",34,"GSE132465__SMC08"
"GSE132465__SMC09__Normal__Myeloid","GSE132465","SMC09","Normal","Myeloid",35,"GSE132465__SMC09"
"GSE132465__SMC10__Normal__Myeloid","GSE132465","SMC10","Normal","Myeloid",67,"GSE132465__SMC10"
"GSE132465__SMC01__Tumor__T_NK","GSE132465","SMC01","Tumor","T_NK",1244,"GSE132465__SMC01"
"GSE132465__SMC02__Tumor__T_NK","GSE132465","SMC02","Tumor","T_NK",527,"GSE132465__SMC02"
"GSE132465__SMC03__Tumor__T_NK","GSE132465","SMC03","Tumor","T_NK",493,"GSE132465__SMC03"
"GSE132465__SMC04__Tumor__T_NK","GSE132465","SMC04","Tumor","T_NK",459,"GSE132465__SMC04"
"GSE132465__SMC05__Tumor__T_NK","GSE132465","SMC05","Tumor","T_NK",505,"GSE132465__SMC05"
"GSE132465__SMC06__Tumor__T_NK","GSE132465","SMC06","Tumor","T_NK",949,"GSE132465__SMC06"
"GSE132465__SMC07__Tumor__T_NK","GSE132465","SMC07","Tumor","T_NK",2171,"GSE132465__SMC07"
"GSE132465__SMC08__Tumor__T_NK","GSE132465","SMC08","Tumor","T_NK",997,"GSE132465__SMC08"
"GSE132465__SMC09__Tumor__T_NK","GSE132465","SMC09","Tumor","T_NK",1435,"GSE132465__SMC09"
"GSE132465__SMC10__Tumor__T_NK","GSE132465","SMC10","Tumor","T_NK",747,"GSE132465__SMC10"
"GSE132465__SMC11__Tumor__T_NK","GSE132465","SMC11","Tumor","T_NK",989,"GSE132465__SMC11"
"GSE132465__SMC14__Tumor__T_NK","GSE132465","SMC14","Tumor","T_NK",635,"GSE132465__SMC14"
"GSE132465__SMC15__Tumor__T_NK","GSE132465","SMC15","Tumor","T_NK",874,"GSE132465__SMC15"
"GSE132465__SMC16__Tumor__T_NK","GSE132465","SMC16","Tumor","T_NK",149,"GSE132465__SMC16"
"GSE132465__SMC17__Tumor__T_NK","GSE132465","SMC17","Tumor","T_NK",229,"GSE132465__SMC17"
"GSE132465__SMC18__Tumor__T_NK","GSE132465","SMC18","Tumor","T_NK",273,"GSE132465__SMC18"
"GSE132465__SMC19__Tumor__T_NK","GSE132465","SMC19","Tumor","T_NK",761,"GSE132465__SMC19"
"GSE132465__SMC20__Tumor__T_NK","GSE132465","SMC20","Tumor","T_NK",347,"GSE132465__SMC20"
"GSE132465__SMC21__Tumor__T_NK","GSE132465","SMC21","Tumor","T_NK",488,"GSE132465__SMC21"
"GSE132465__SMC22__Tumor__T_NK","GSE132465","SMC22","Tumor","T_NK",336,"GSE132465__SMC22"
"GSE132465__SMC23__Tumor__T_NK","GSE132465","SMC23","Tumor","T_NK",607,"GSE132465__SMC23"
"GSE132465__SMC24__Tumor__T_NK","GSE132465","SMC24","Tumor","T_NK",668,"GSE132465__SMC24"
"GSE132465__SMC25__Tumor__T_NK","GSE132465","SMC25","Tumor","T_NK",856,"GSE132465__SMC25"
"GSE132465__SMC01__Normal__T_NK","GSE132465","SMC01","Normal","T_NK",899,"GSE132465__SMC01"
"GSE132465__SMC02__Normal__T_NK","GSE132465","SMC02","Normal","T_NK",406,"GSE132465__SMC02"
"GSE132465__SMC03__Normal__T_NK","GSE132465","SMC03","Normal","T_NK",470,"GSE132465__SMC03"
"GSE132465__SMC04__Normal__T_NK","GSE132465","SMC04","Normal","T_NK",536,"GSE132465__SMC04"
"GSE132465__SMC05__Normal__T_NK","GSE132465","SMC05","Normal","T_NK",485,"GSE132465__SMC05"
"GSE132465__SMC06__Normal__T_NK","GSE132465","SMC06","Normal","T_NK",901,"GSE132465__SMC06"
"GSE132465__SMC07__Normal__T_NK","GSE132465","SMC07","Normal","T_NK",970,"GSE132465__SMC07"
"GSE132465__SMC08__Normal__T_NK","GSE132465","SMC08","Normal","T_NK",703,"GSE132465__SMC08"
"GSE132465__SMC09__Normal__T_NK","GSE132465","SMC09","Normal","T_NK",406,"GSE132465__SMC09"
"GSE132465__SMC10__Normal__T_NK","GSE132465","SMC10","Normal","T_NK",600,"GSE132465__SMC10"
"GSE132465__SMC01__Tumor__B_Plasma","GSE132465","SMC01","Tumor","B_Plasma",129,"GSE132465__SMC01"
"GSE132465__SMC02__Tumor__B_Plasma","GSE132465","SMC02","Tumor","B_Plasma",90,"GSE132465__SMC02"
"GSE132465__SMC03__Tumor__B_Plasma","GSE132465","SMC03","Tumor","B_Plasma",300,"GSE132465__SMC03"
"GSE132465__SMC04__Tumor__B_Plasma","GSE132465","SMC04","Tumor","B_Plasma",103,"GSE132465__SMC04"
"GSE132465__SMC05__Tumor__B_Plasma","GSE132465","SMC05","Tumor","B_Plasma",106,"GSE132465__SMC05"
"GSE132465__SMC06__Tumor__B_Plasma","GSE132465","SMC06","Tumor","B_Plasma",104,"GSE132465__SMC06"
"GSE132465__SMC07__Tumor__B_Plasma","GSE132465","SMC07","Tumor","B_Plasma",814,"GSE132465__SMC07"
"GSE132465__SMC08__Tumor__B_Plasma","GSE132465","SMC08","Tumor","B_Plasma",304,"GSE132465__SMC08"
"GSE132465__SMC09__Tumor__B_Plasma","GSE132465","SMC09","Tumor","B_Plasma",21,"GSE132465__SMC09"
"GSE132465__SMC10__Tumor__B_Plasma","GSE132465","SMC10","Tumor","B_Plasma",113,"GSE132465__SMC10"
"GSE132465__SMC11__Tumor__B_Plasma","GSE132465","SMC11","Tumor","B_Plasma",254,"GSE132465__SMC11"
"GSE132465__SMC14__Tumor__B_Plasma","GSE132465","SMC14","Tumor","B_Plasma",58,"GSE132465__SMC14"
"GSE132465__SMC15__Tumor__B_Plasma","GSE132465","SMC15","Tumor","B_Plasma",380,"GSE132465__SMC15"
"GSE132465__SMC17__Tumor__B_Plasma","GSE132465","SMC17","Tumor","B_Plasma",44,"GSE132465__SMC17"
"GSE132465__SMC18__Tumor__B_Plasma","GSE132465","SMC18","Tumor","B_Plasma",61,"GSE132465__SMC18"
"GSE132465__SMC19__Tumor__B_Plasma","GSE132465","SMC19","Tumor","B_Plasma",330,"GSE132465__SMC19"
"GSE132465__SMC20__Tumor__B_Plasma","GSE132465","SMC20","Tumor","B_Plasma",89,"GSE132465__SMC20"
"GSE132465__SMC21__Tumor__B_Plasma","GSE132465","SMC21","Tumor","B_Plasma",67,"GSE132465__SMC21"
"GSE132465__SMC22__Tumor__B_Plasma","GSE132465","SMC22","Tumor","B_Plasma",23,"GSE132465__SMC22"
"GSE132465__SMC23__Tumor__B_Plasma","GSE132465","SMC23","Tumor","B_Plasma",118,"GSE132465__SMC23"
"GSE132465__SMC24__Tumor__B_Plasma","GSE132465","SMC24","Tumor","B_Plasma",161,"GSE132465__SMC24"
"GSE132465__SMC25__Tumor__B_Plasma","GSE132465","SMC25","Tumor","B_Plasma",257,"GSE132465__SMC25"
"GSE132465__SMC01__Normal__B_Plasma","GSE132465","SMC01","Normal","B_Plasma",788,"GSE132465__SMC01"
"GSE132465__SMC02__Normal__B_Plasma","GSE132465","SMC02","Normal","B_Plasma",500,"GSE132465__SMC02"
"GSE132465__SMC03__Normal__B_Plasma","GSE132465","SMC03","Normal","B_Plasma",697,"GSE132465__SMC03"
"GSE132465__SMC04__Normal__B_Plasma","GSE132465","SMC04","Normal","B_Plasma",569,"GSE132465__SMC04"
"GSE132465__SMC05__Normal__B_Plasma","GSE132465","SMC05","Normal","B_Plasma",262,"GSE132465__SMC05"
"GSE132465__SMC06__Normal__B_Plasma","GSE132465","SMC06","Normal","B_Plasma",475,"GSE132465__SMC06"
"GSE132465__SMC07__Normal__B_Plasma","GSE132465","SMC07","Normal","B_Plasma",507,"GSE132465__SMC07"
"GSE132465__SMC08__Normal__B_Plasma","GSE132465","SMC08","Normal","B_Plasma",591,"GSE132465__SMC08"
"GSE132465__SMC09__Normal__B_Plasma","GSE132465","SMC09","Normal","B_Plasma",382,"GSE132465__SMC09"
"GSE132465__SMC10__Normal__B_Plasma","GSE132465","SMC10","Normal","B_Plasma",437,"GSE132465__SMC10"
"GSE132465__SMC01__Normal__Mast","GSE132465","SMC01","Normal","Mast",82,"GSE132465__SMC01"
"GSE132465__SMC08__Normal__Mast","GSE132465","SMC08","Normal","Mast",41,"GSE132465__SMC08"
"GSE132465__SMC10__Normal__Mast","GSE132465","SMC10","Normal","Mast",28,"GSE132465__SMC10"
