"sample_id","dataset","patient_id","condition","cell_class","n_cells","paired_id"
"GSE144735__KUL01__Normal__Myeloid","GSE144735","KUL01","Normal","Myeloid",347,"GSE144735__KUL01"
"GSE144735__KUL19__Normal__Myeloid","GSE144735","KUL19","Normal","Myeloid",261,"GSE144735__KUL19"
"GSE144735__KUL21__Normal__Myeloid","GSE144735","KUL21","Normal","Myeloid",93,"GSE144735__KUL21"
"GSE144735__KUL30__Normal__Myeloid","GSE144735","KUL30","Normal","Myeloid",70,"GSE144735__KUL30"
"GSE144735__KUL31__Normal__Myeloid","GSE144735","KUL31","Normal","Myeloid",36,"GSE144735__KUL31"
"GSE144735__KUL01__Tumor__T_NK","GSE144735","KUL01","Tumor","T_NK",306,"GSE144735__KUL01"
"GSE144735__KUL19__Tumor__T_NK","GSE144735","KUL19","Tumor","T_NK",1309,"GSE144735__KUL19"
"GSE144735__KUL21__Tumor__T_NK","GSE144735","KUL21","Tumor","T_NK",226,"GSE144735__KUL21"
"GSE144735__KUL28__Tumor__T_NK","GSE144735","KUL28","Tumor","T_NK",67,"GSE144735__KUL28"
"GSE144735__KUL01__Border__T_NK","GSE144735","KUL01","Border","T_NK",393,"GSE144735__KUL01"
"GSE144735__KUL19__Border__T_NK","GSE144735","KUL19","Border","T_NK",1362,"GSE144735__KUL19"
"GSE144735__KUL21__Border__T_NK","GSE144735","KUL21","Border","T_NK",221,"GSE144735__KUL21"
"GSE144735__KUL30__Border__T_NK","GSE144735","KUL30","Border","T_NK",33,"GSE144735__KUL30"
"GSE144735__KUL31__Border__T_NK","GSE144735","KUL31","Border","T_NK",266,"GSE144735__KUL31"
"GSE144735__KUL01__Normal__T_NK","GSE144735","KUL01","Normal","T_NK",231,"GSE144735__KUL01"
"GSE144735__KUL19__Normal__T_NK","GSE144735","KUL19","Normal","T_NK",202,"GSE144735__KUL19"
"GSE144735__KUL21__Normal__T_NK","GSE144735","KUL21","Normal","T_NK",507,"GSE144735__KUL21"
"GSE144735__KUL28__Normal__T_NK","GSE144735","KUL28","Normal","T_NK",124,"GSE144735__KUL28"
"GSE144735__KUL30__Normal__T_NK","GSE144735","KUL30","Normal","T_NK",28,"GSE144735__KUL30"
"GSE144735__KUL31__Normal__T_NK","GSE144735","KUL31","Normal","T_NK",447,"GSE144735__KUL31"
"GSE144735__KUL19__Tumor__B_Plasma","GSE144735","KUL19","Tumor","B_Plasma",537,"GSE144735__KUL19"
"GSE144735__KUL21__Tumor__B_Plasma","GSE144735","KUL21","Tumor","B_Plasma",104,"GSE144735__KUL21"
"GSE144735__KUL30__Tumor__B_Plasma","GSE144735","KUL30","Tumor","B_Plasma",108,"GSE144735__KUL30"
"GSE144735__KUL19__Border__B_Plasma","GSE144735","KUL19","Border","B_Plasma",1011,"GSE144735__KUL19"
"GSE144735__KUL28__Border__B_Plasma","GSE144735","KUL28","Border","B_Plasma",121,"GSE144735__KUL28"
"GSE144735__KUL30__Border__B_Plasma","GSE144735","KUL30","Border","B_Plasma",258,"GSE144735__KUL30"
"GSE144735__KUL31__Border__B_Plasma","GSE144735","KUL31","Border","B_Plasma",105,"GSE144735__KUL31"
"GSE144735__KUL01__Normal__B_Plasma","GSE144735","KUL01","Normal","B_Plasma",362,"GSE144735__KUL01"
"GSE144735__KUL19__Normal__B_Plasma","GSE144735","KUL19","Normal","B_Plasma",472,"GSE144735__KUL19"
"GSE144735__KUL21__Normal__B_Plasma","GSE144735","KUL21","Normal","B_Plasma",329,"GSE144735__KUL21"
"GSE144735__KUL28__Normal__B_Plasma","GSE144735","KUL28","Normal","B_Plasma",271,"GSE144735__KUL28"
"GSE144735__KUL30__Normal__B_Plasma","GSE144735","KUL30","Normal","B_Plasma",692,"GSE144735__KUL30"
"GSE144735__KUL31__Normal__B_Plasma","GSE144735","KUL31","Normal","B_Plasma",478,"GSE144735__KUL31"
"GSE144735__KUL19__Tumor__Mast","GSE144735","KUL19","Tumor","Mast",31,"GSE144735__KUL19"
"GSE144735__KUL21__Tumor__Mast","GSE144735","KUL21","Tumor","Mast",27,"GSE144735__KUL21"
"GSE144735__KUL19__Border__Mast","GSE144735","KUL19","Border","Mast",29,"GSE144735__KUL19"
"GSE144735__KUL21__Border__Mast","GSE144735","KUL21","Border","Mast",44,"GSE144735__KUL21"
